Metric,Meaning,Source,Comment 
Monthly Active Users (MAU),~500 million,SimilarWeb (2025),High traffic means a strong market position
Bounce Rate,~35–40%,SimilarWeb,High bounce rate on the main page — a problem with the landing page
Average Visit Duration,~8 мин,SimilarWeb,Good engagement — users are searching for hotels
Pages per Visit,~7–8,SimilarWeb,Users view several options
Conversion Rate (search to booking),~5–8%,Market valuation/Statista,Low on mobile — growth potential
Retention D1,~20–25%,AppFollow/оценка,Below competitors (Airbnb ~30%) — weak retention
Gross Merchandise Value (GMV) Q3 2025,~$50 billion,Booking Holdings report Q3 2025,14% YoY growth — strong business
Room Nights Q3 2025,~323 million,Booking Holdings report,8% growth YoY
Average Order Value (AOV),~$500,Booking reports,Average booking amount
App Rating,4.8/5,AppFollow,High — users are satisfied.